Nombre de Jugador,Nombre de Invocador,Liga Actual,Puntos de Liga,Partidas Jugadas,Victorias,Derrotas,Win Ratio %
Stepz,step z z,GOLD I,13,25,22,3,88 %
Zenitzuuwu,TheKingVolibear,GOLD IV,56,19,14,5,74 %
PapiSosa,NO SOY CACHETON,GOLD IV,31,17,15,2,88 %
ReinnLol,REDBULL ABUSER,SILVER I,87,19,14,5,74 %
Lol Hugo Rock,TwTV lolHugrock,SILVER I,80,15,11,4,73 %
MurilloSama,POCHO DIFF,SILVER I,79,16,13,3,81 %
Joker Was Here,Pykent was here,SILVER I,78,15,11,4,73 %
Mechs,ł Eros ł,SILVER I,66,17,11,6,65 %
Lgsus,VA POR TI SOFI,SILVER I,29,12,9,3,75 %
DeusCloud3,Maniveela,SILVER I,10,18,10,8,56 %
Relic,xXElMasCapitoXx,SILVER II,88,13,10,3,77 %
Masorco,secret TTQ jg,SILVER II,59,11,9,2,82 %
Amauryn29,Silver Destroyer,SILVER II,1,10,7,3,70 %
Ceviche0709,Ceviche Ans,SILVER III,58,13,7,6,54 %
